"stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_url","wheelchair_boarding"
"1","ABT","Albertson","40.77206317","-73.64169095","https://new.mta.info/mta-stations/albertson","1"
"100","ISP","Islip","40.73583449","-73.20932145","https://new.mta.info/mta-stations/islip","1"
"101","IWD","Inwood","40.61228773","-73.74418354","https://new.mta.info/mta-stations/inwood","1"
"102","JAM","Jamaica","40.69960817","-73.80852987","https://new.mta.info/mta-stations/jamaica","1"
"107","KGN","Kew Gardens","40.70964917","-73.83088807","https://new.mta.info/mta-stations/kew-gardens","1"
"11","BDY","Broadway","40.76165318","-73.80176612","https://new.mta.info/mta-stations/broadway","1"
"111","KPK","Kings Park","40.88366659","-73.25624757","https://new.mta.info/mta-stations/kings-park","1"
"113","LBH","Long Beach","40.5901817","-73.66481822","https://new.mta.info/mta-stations/long-beach","1"
"114","LCE","Lawrence","40.6157347","-73.73589955","https://new.mta.info/mta-stations/lawrence","1"
"117","LHT","Lindenhurst","40.68826504","-73.36921149","https://new.mta.info/mta-stations/lindenhurst","2"
"118","LIC","Long Island City","40.74134343","-73.95763922","https://new.mta.info/mta-stations/long-island-city","1"
"119","LMR","Locust Manor","40.67513907","-73.76504303","https://new.mta.info/mta-stations/locust-manor","2"
"120","LNK","Little Neck","40.77504393","-73.74064662","https://new.mta.info/mta-stations/little-neck","1"
"122","LTN","Laurelton","40.66848304","-73.75174687","https://new.mta.info/mta-stations/laurelton","2"
"123","LVL","Locust Valley","40.87446697","-73.59830284","https://new.mta.info/mta-stations/locust-valley","1"
"124","LVW","Lakeview","40.68585582","-73.65213777","https://new.mta.info/mta-stations/lakeview","1"
"125","LYN","Lynbrook","40.65605814","-73.67607083","https://new.mta.info/mta-stations/lynbrook","1"
"126","MAK","Mattituck","40.99179354","-72.53606243","https://new.mta.info/mta-stations/mattituck","1"
"127","MAV","Merillon Avenue","40.73516903","-73.66252148","https://new.mta.info/mta-stations/merillon-avenue","1"
"129","MFD","Medford","40.81739665","-72.99890946","https://new.mta.info/mta-stations/medford","1"
"13","BHN","Bridgehampton","40.93898378","-72.31004593","https://new.mta.info/mta-stations/bridgehampton","1"
"130","MHL","Murray Hill","40.76270926","-73.81453928","https://new.mta.info/mta-stations/murray-hill","1"
"131","MHT","Manhasset","40.7967241","-73.69989909","https://new.mta.info/mta-stations/manhasset","1"
"132","MIN","Mineola","40.74034743","-73.64086293","https://new.mta.info/mta-stations/mineola","1"
"135","MPK","Massapequa Park","40.6778591","-73.45473724","https://new.mta.info/mta-stations/massapequa-park","2"
"136","MQA","Massapequa","40.67693014","-73.46905552","https://new.mta.info/mta-stations/massapequa","1"
"14","BK","Stony Brook","40.92032252","-73.12854943","https://new.mta.info/mta-stations/stony-brook","1"
"140","MSY","Mastic-Shirley","40.79898815","-72.86442272","https://new.mta.info/mta-stations/mastic-shirley","1"
"141","MTK","Montauk","41.04710896","-71.95388103","https://new.mta.info/mta-stations/montauk","1"
"142","MVN","Malverne","40.67547844","-73.66886364","https://new.mta.info/mta-stations/malverne","1"
"148","NAV","Nostrand Avenue","40.67838785","-73.94822108","https://new.mta.info/mta-stations/nostrand-avenue","1"
"149","NBD","Nassau Boulevard","40.72296245","-73.66269823","https://new.mta.info/mta-stations/nassau-boulevard","1"
"152","NHP","New Hyde Park","40.73075708","-73.68095886","https://new.mta.info/mta-stations/new-hyde-park","1"
"153","NPT","Northport","40.88064972","-73.32848513","https://new.mta.info/mta-stations/northport","1"
"154","OBY","Oyster Bay","40.87533774","-73.53403366","https://new.mta.info/mta-stations/oyster-bay","1"
"155","ODE","Oceanside","40.63472102","-73.65466582","https://new.mta.info/mta-stations/oceanside","1"
"157","ODL","Oakdale","40.74343275","-73.13243549","https://new.mta.info/mta-stations/oakdale","1"
"16","BMR","Bellmore","40.66880043","-73.52886016","https://new.mta.info/mta-stations/bellmore","1"
"162","PDM","Plandome","40.81069853","-73.69521438","https://new.mta.info/mta-stations/plandome","1"
"163","PGE","Patchogue","40.76187901","-73.01574451","https://new.mta.info/mta-stations/patchogue","1"
"164","PJN","Port Jefferson","40.9345531","-73.05250164","https://new.mta.info/mta-stations/port-jefferson","1"
"165","PLN","Pinelawn","40.74535851","-73.39960092","https://new.mta.info/mta-stations/pinelawn","1"
"171","PWS","Port Washington","40.82903533","-73.687401","https://new.mta.info/mta-stations/port-washington","1"
"175","QVG","Queens Village","40.71745785","-73.73645989","https://new.mta.info/mta-stations/queens-village","1"
"176","RHD","Riverhead","40.91983928","-72.66691054","https://new.mta.info/mta-stations/riverhead","1"
"179","RON","Ronkonkoma","40.80808613","-73.10594023","https://new.mta.info/mta-stations/ronkonkoma","1"
"180","ROS","Rosedale","40.66594933","-73.73554816","https://new.mta.info/mta-stations/rosedale","1"
"182","RSN","Roslyn","40.7904781","-73.64326175","https://new.mta.info/mta-stations/roslyn","1"
"183","RVC","Rockville Centre","40.65831811","-73.64654935","https://new.mta.info/mta-stations/rockville-centre","1"
"184","SAB","St. Albans","40.69118348","-73.76550937","https://new.mta.info/mta-stations/st-albans","2"
"185","SCF","Sea Cliff","40.85236805","-73.62541695","https://new.mta.info/mta-stations/sea-cliff","1"
"187","SFD","Seaford","40.67572393","-73.48656847","https://new.mta.info/mta-stations/seaford","1"
"190","SHD","Southold","41.06632089","-72.4278803","https://new.mta.info/mta-stations/southold","1"
"191","SHN","Southampton","40.89471874","-72.39012376","https://new.mta.info/mta-stations/southampton","1"
"193","SJM","St. James","40.88216931","-73.15950725","https://new.mta.info/mta-stations/st-james","1"
"195","SMR","Stewart Manor","40.72302771","-73.68102041","https://new.mta.info/mta-stations/stewart-manor","1"
